Datetime,Latitude,Longitude,Value
2024-08-24 22:01:23,23.899895,90.419258,101.0
2024-08-24 22:01:24,23.899895,90.419258,101.0
2024-08-24 22:01:26,23.899895,90.419258,101.0
2024-08-24 22:01:27,23.899895,90.419258,101.0
2024-08-24 22:01:28,23.899895,90.419258,101.0
2024-08-24 22:01:30,23.899895,90.419258,101.0
2024-08-24 22:01:31,23.899895,90.419258,101.0
2024-08-24 22:01:33,23.899895,90.419258,101.0
2024-08-24 22:01:34,23.899895,90.419258,101.0
2024-08-24 22:01:36,23.899895,90.419258,101.0
2024-08-24 22:01:37,23.899895,90.419258,101.0
2024-08-24 22:01:38,23.899895,90.419258,101.0
2024-08-24 22:01:40,23.899895,90.419258,101.0
2024-08-24 22:01:41,23.899895,90.419258,101.0
2024-08-24 22:01:43,23.899895,90.419258,101.0
2024-08-24 22:01:44,23.899895,90.419258,101.0
2024-08-24 22:01:45,23.899895,90.419258,101.0
2024-08-24 22:01:47,23.899895,90.419258,101.0
2024-08-24 22:01:48,23.899895,90.419258,101.0
2024-08-24 22:01:50,23.899895,90.419258,101.0
2024-08-24 22:01:51,23.899895,90.419258,101.0
2024-08-24 22:01:53,23.899895,90.419258,101.0
2024-08-24 22:01:54,23.899895,90.419258,101.0
2024-08-24 22:01:55,23.899895,90.419258,101.0
2024-08-24 22:01:57,23.899895,90.419258,101.0
2024-08-24 22:01:58,23.899895,90.419258,101.0
2024-08-24 22:02:00,23.899895,90.419258,101.0
2024-08-24 22:02:01,23.899895,90.419258,101.0
2024-08-24 22:02:02,23.899895,90.419258,101.0
